Time_ms,imu_RTx,imu_LTx,imu_1_left_shaking,imu_2_right_shaking,imu_3_left_foot,imu_4_right_foot,RLTx_delay,torque_delay,tau_raw_L,tau_raw_R,S_torque_command_left,S_torque_command_right,M1_torque_command,M2_torque_command,Rescaling_gain,imu_Rvel,imu_Lvel,imu_vel_1,imu_vel_2,imu_vel_3,imu_vel_4,freq_avg,R_flexion,L_flexion,extra3,R_extension,L_extension
12444,0.2455,0.3837,0.2579,0.2446,0.3924,0.3906,0.0000,0.0000,-0.0138,0.0138,0.0000,0.0000,0.0000,0.0000,5.0000,0.0610,0.6714,0.3052,0.5493,0.5493,0.4272,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000
12454,0.3279,0.3837,0.2579,0.2446,0.3924,0.3906,0.0000,0.0000,-0.0292,0.0292,0.0000,0.0000,0.0000,0.0000,5.0000,-0.2441,0.6714,0.3052,0.5493,0.5493,0.4272,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000
12464,0.3279,0.4606,0.2579,0.2446,0.4363,0.4401,0.0000,0.0000,-0.0420,0.0420,0.0000,0.0000,0.0000,0.0000,5.0000,-0.3662,-0.3662,0.3052,0.5493,-0.5493,-0.5493,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000
12474,0.3279,0.4606,0.3183,0.2830,0.4308,0.4346,0.0000,0.0000,-0.0592,0.0592,0.0000,0.0000,0.0000,0.0000,5.0000,-0.5493,-0.6104,-0.6104,-0.1831,-0.4883,-0.5493,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000
12484,0.3279,0.4551,0.3073,0.2720,0.4308,0.4346,0.0000,0.0000,-0.0727,0.0727,0.0000,0.0000,0.0000,0.0000,5.0000,-0.5493,-0.8545,-0.6104,-0.2441,-0.4272,-0.5493,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000
12494,0.3224,0.4551,0.3073,0.2720,0.4253,0.4346,0.0000,0.0000,-0.0836,0.0836,0.0000,0.0000,0.0000,0.0000,5.0000,-0.7935,-0.9155,-0.6104,-0.3052,-0.4883,-0.5493,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000
12504,0.3169,0.4496,0.3018,0.2665,0.4253,0.4291,0.0000,0.0000,-0.0929,0.0929,0.0000,0.0000,0.0000,0.0000,5.0000,-1.0986,-0.8545,-0.6104,-0.3052,-0.4883,-0.6104,0.0000,0.0001,-0.0001,0.0000,0.0000,0.0000
12514,0.3169,0.4442,0.3018,0.2665,0.4253,0.4291,0.0000,0.0000,-0.1000,0.1000,0.0000,0.0000,0.0000,0.0000,5.0000,-1.0986,-0.8545,-0.5493,-0.2441,-0.4883,-0.5493,0.0000,0.0001,-0.0001,0.0000,0.0000,0.0000
12524,0.3114,0.4442,0.3018,0.2665,0.4253,0.4291,0.0000,0.0000,-0.1057,0.1057,0.0000,0.0000,0.0000,0.0000,5.0000,-0.6714,-0.6714,-0.4883,-0.1221,-0.3662,-0.4883,0.0000,0.0001,-0.0001,0.0000,0.0000,0.0000
12534,0.3169,0.4496,0.3018,0.2665,0.4253,0.4291,0.0000,0.0000,-0.1108,0.1108,0.0000,0.0000,0.0000,0.0000,5.0000,-0.4883,-0.2441,-0.3662,-0.1221,-0.2441,-0.3052,0.0000,0.0001,-0.0001,0.0000,0.0000,0.0000
